Reference, Value, Footprint, Datasheet, Manufacturer, Manufacturer Part Number, Supplier 1, Supplier 1 Part Number, Voltage, DisplayFootprint, TempCo, DNP
"C24","DNP","Capacitors_SMD:C_0402","","MacroFab","MF-CAP-0402-0.1uF","","","","0402","","DNP"
"C25","DNP","Capacitors_SMD:C_0402","","MacroFab","MF-CAP-0402-0.1uF","","","","0402","","DNP"
"A1","Antenna","Reclaimer_Labs:2450AT18B100E","","Johanson","2450AT18B100E","","","","","",""
"L3","3.3nH","Capacitors_SMD:C_0402","","TDK","MLG1005S3N3BT000","","","","","",""
"C9","1.2pF","Capacitors_SMD:C_0402","","Johanson","500R07S1R2BV4T","","","","","",""
"L4","2.7nH","Capacitors_SMD:C_0402","","Johanson","L-07C2N7SV6T","","","","","",""
"J6","CONN_01X06","Socket_Strips:Socket_Strip_Straight_1x06_Pitch2.54mm","","MacroFab","MF-CON-2.54mm-01x06","","","","","",""
"C21","4.7uF","Capacitors_SMD:C_0805","","Samsung","CL21A475KOFNNNE","","","","0805","",""
"C14","4.7uF","Capacitors_SMD:C_0805","","Samsung","CL21A475KOFNNNE","","","","0805","",""
"C22","4.7uF","Capacitors_SMD:C_0805","","Samsung","CL21A475KOFNNNE","","","","0805","",""
"RT2","100k","Resistors_SMD:R_0603","","Murata","NCP18WF104J03RB","Digikey","490-2430-1-ND","","","",""
"R15","18k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-18K","","","","","",""
"R16","750k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-750K","","","","","",""
"R17","100k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-100K","","","","","",""
"J7","CONN_02X06","Socket_Strips:Socket_Strip_Straight_2x06_Pitch2.54mm",""
"C28","DNP","Capacitors_SMD:C_0603","","MacroFab","MF-CAP-0603-1uF","","","","0603","","DNP"
"J4","XT30","Reclaimer_Labs:XT30",""
"J5","USB_OTG","Reclaimer_Labs:USB_Micro-B_10118194-0001LF","","MacroFab","MF-CON-MICROUSB-RIGHT","","","","","",""
"X1","MTHOLE","Reclaimer_Labs:MountingHole_3.5mm_Pad_Via",""
"R12","1k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-1K","","","","","",""
"D3","RGB LED 3228 SMD PLCC-4","Reclaimer_Labs:PLCC4","","MacroFab","MF-LED-3228-RGB","","","","","",""
"R13","1k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-1K","","","","","",""
"R14","1k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-1K","","","","","",""
"X2","MTHOLE","Reclaimer_Labs:MountingHole_3.5mm_Pad_Via",""
"X3","MTHOLE","Reclaimer_Labs:MountingHole_3.5mm_Pad_Via",""
"X4","MTHOLE","Reclaimer_Labs:MountingHole_3.5mm_Pad_Via",""
"X5","HEATSINK","Reclaimer_Labs:573100D00010G","","Aavid Thermalloy","573100D00010G","","","","","",""
"X6","HEATSINK","Reclaimer_Labs:573100D00010G","","Aavid Thermalloy","573100D00010G","","","","","",""
"X7","HEATSINK","Reclaimer_Labs:573100D00010G","","Aavid Thermalloy","573100D00010G","","","","","",""
"Q3","Photo_Trans","Reclaimer_Labs:Photo_Trans_ALS-PT19-315C","","Everlight","ALS-PT19-315C/L177/TR8","","","","","",""
"R18","10k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-10K","","","","","",""
"U5","LPS22HB","Reclaimer_Labs:LGA10R50P2X3_200X200X80","","ST","LPS22HBTR","","","","","",""
"C30","0.1uF","Capacitors_SMD:C_0402","","MacroFab","MF-CAP-0402-0.1uF","","","","0402","",""
"U4","SPK0415HM4H-B","Reclaimer_Labs:SPK0415HM4H-8","","Knowles","SPK0415HM4H-B-7","","","","","",""
"C31","0.1uF","Capacitors_SMD:C_0402","","MacroFab","MF-CAP-0402-0.1uF","","","","0402","",""
